BDU:2021-00145	Уязвимость удаленного выполнения кода в Microsoft Defender. 
BDU:2024-01322	Уязвимость удаленного выполнения кода Microsoft Outlook 
BDU:2023-01390	Уязвимость обхода функции защиты Microsoft Defender for Endpoint Security. 
BDU:2023-00658	WireGuard 0.5.3 не полностью учитывает возможность того, что злоумышленник может установить системное время жертвы на будущее значение, что позволяет привести к результату, в котором один статический закрытый ключ становится постоянно бесполезным. 
BDU:2024-04136	Уязвимость в LibreOffice версии 7.6 до 7.6.7, и 24.0 до 24.2.3 позволяет злоумышленнику создать документ, который без запроса будет выполнять встроенные в LibreOffice скрипты при щелчке по графическому изображению. 
BDU:2024-01413	Уязвимость удаленного выполнения кода Microsoft Outlook 
BDU:2024-04042	Уязвимость в Git до 2.45.1, 2.44.1, 2.43.4, 2.42.2, 2.41.1, 2.40.2, и 2.39.4. 
BDU:2021-04121	Уязвимость, связанная с повышением привилегий в Защитнике Microsoft Windows. 
BDU:2023-02200	Уязвимость отказа в обслуживании Microsoft Defender. 
BDU:2021-03065	Уязвимость удаленного выполнения кода в Microsoft Defender. 
BDU:2022-00643	Уязвимость удаленного выполнения кода Microsoft Defender. 
BDU:2024-04508	Уязвимость удаленного выполнение кода Microsoft Outlook. 
BDU:2024-01557	Уязвимость удаленного выполнения кода Microsoft Office OneNote 
BDU:2022-02753	Уязвимость удаленного выполнения кода Microsoft Defender. Этот CVE ID отличается от CVE-2021-34522. 
BDU:2024-01556	Уязвимость удаленного выполнения кода Microsoft Word 
BDU:2024-04053	Уязвимость удаленного выполнение кода в Microsoft Excel. 
BDU:2024-03872	Уязвимость в Git до версии 2.45.1, 2.44.1, 2.43.4, 2.42.2, 2.41.1, 2.40.2, и 2.39.4. 
BDU:2022-03110	Графический драйвер NVIDIA содержит уязвимость в DirectX11 user mode driver (nvwgf2um/x.dll), что может привести к выполнению кода, вызвать отказ в обслуживании, повышению привилегий, раскрытию информации. 
BDU:2023-05606	Уязвимость обхода функции безопасности Microsoft Defender. 
BDU:2022-03426	Уязвимость отказа в обслуживании Microsoft Defender. 
BDU:2022-03060	Графический драйвер NVIDIA содержит уязвимость в обработчике режима ядра, что может привести к выполнению кода, отказу в обслуживании, повышению привилегий, раскрытию информации. 
BDU:2022-01339	С тем, как функция WinVerifyTrust обрабатывает проверку подписи Authenticode в Windows для переносимых исполняемых (PE) файлов, связано существование уязвимости, делающей возможным удаленное выполнение кода. Анонимный злоумышленник может воспользоваться этой уязвимостью, изменив существующий подписанный переносимый исполняемый (PE) файл для обработки непроверенных частей файла. В результате в файл может быть добавлен вредоносный код без нарушения подлинности подписи. Воспользовавшись этой уязвимостью, злоумышленник может установить полный контроль над системой. После этого злоумышленник сможет устанавливать программы, просматривать, изменять и уничтожать данные или создавать новые учетные записи с неограниченными правами. 
BDU:2024-01478	Уязвимость удаленного выполнения кода Microsoft Office 
BDU:2023-06987	Уязвимость в WireGuard 0.5.3 позволяет злоумышленнику обманом заставить жертву блокировать трафик в локальную сеть даже при включенном VPN. 
BDU:2024-04608	Уязвимость перехвата бинарных файлов в WiX. 
BDU:2024-04093	Уязвимость в Git до версии 2.45.1, 2.44.1, 2.43.4, 2.42.2, 2.41.1, 2.40.2, и 2.39.4. 
BDU:2022-07001	Уязвимость повышения привилегий защитника Microsoft Windows. 
BDU:2024-03125	Проникновение HTTP-запроса (HRS) в Node.js 18.x до 18.20.1, 20.x до 20.12.1, и 21.x до 21.7.2. 
BDU:2016-00218	Microsoft Internet Explorer 7 по 11 и Microsoft Edge позволяет удалённым злоумышленникам обойти защитный ASLR механизм через специально сформированный веб-сайт. 
BDU:2022-03959	Графический драйвер NVIDIA содержит уязвимость в обработчике режима ядра (nvlddmkm.sys) для DxgkDdiEscape, которая может привести к отказу в обслуживании. 
BDU:2023-02445	Уязвимость отказа в обслуживании в pip пакете setuptools до 65.5.1. 
BDU:2021-05768	Уязвимость удаленного выполнения кода в Microsoft Defender. 
BDU:2022-03932	Графический драйвер NVIDIA содержит уязвимость в обработчике режима ядра (nvlddmkm.sys), что может привести к отказу в обслуживании. 
BDU:2022-03930	Графический драйвер NVIDIA содержит уязвимость в ECC, что может привести к отказу в обслуживании. 
BDU:2021-03061	Уязвимость, приводящая к отказу в обслуживании Microsoft Defender. 
BDU:2022-03939	Графический драйвер NVIDIA содержит уязвимость в обработчике режима ядра (nvlddmkm.sys) для DxgkDdiEscape, которая позволяет вызвать отказ в обслуживании. 
BDU:2024-00145	Уязвимость повышения привилегий в Microsoft Windows Defender. 
BDU:2023-03310	Уязвимость проверки входных данных в pip пакете pip до 21.1. 
BDU:2022-03126	Графический драйвер NVIDIA содержит уязвимость в обработчике режима ядра, что может привести к отказу в обслуживании и раскрытию информации. 
BDU:2022-03941	Графический драйвер NVIDIA содержит уязвимость в обработчике режима ядра (nvlddmkm.sys) для DxgkDdiEscape, что может привести к отказу в обслуживании и раскрытию информации. 
BDU:2023-08026	Уязвимость ввода команд в pip пакете pip до 23.3. 
BDU:2023-02598	Уязвимость обхода функции безопасности Microsoft Defender. 
BDU:2023-01374	Уязвимость несанкционированного получения прав Microsoft Windows Defender. 
BDU:2024-04593	Уязвимость несанкционированного получения прав Visual Studio. 
BDU:2024-04595	Уязвимость удаленного выполнение кода в Visual Studio. 
BDU:2022-03929	Графический драйвер NVIDIA содержит уязвимость в обработчике режима ядра (nvlddmkm.sys) для DxgkDdiEscape, что может привести к отказу в обслуживании. 
BDU:2022-03958	Графический драйвер NVIDIA содержит уязвимость в обработчике режима ядра (nvlddmkm.sys) для DxgkDdiEscape, которая позволяет разыменование нулевого указателя и может привести к падению системы. 
BDU:2024-04094	Уязвимость в Git до 2.45.1, 2.44.1, 2.43.4, 2.42.2, 2.41.1, 2.40.2, и 2.39.4. 
BDU:2024-04214	Уязвимость в Git до версии 2.45.1, 2.44.1, 2.43.4, 2.42.2, 2.41.1, 2.40.2, и 2.39.4. 
