BDU:2024-09589	Уязвимость удаленного выполнения кода службы телефонии Windows
BDU:2022-04039	Уязвимость в OpenSSL 3.0.0, 3.0.1, 3.0.2, 3.0.3, 1.1.1 до 1.1.1o, и 1.0.2 до 1.0.2ze позволяет злоумышленнику выполнить произвольные команды.
BDU:2024-09602	Уязвимость удаленного выполнения кода службы телефонии Windows
BDU:2024-07377	Была обнаружена проблема в libexpat до версии 2.6.3. dtdCopy в xmlparse.c может иметь целочисленное переполнение для nDefaultAtts на 32-разрядных платформах (где UINT_MAX равен SIZE_MAX).
BDU:2024-07376	В libexpat до версии 2.6.3 обнаружена проблема. nextScaffoldPart в xmlparse.c может иметь целочисленное переполнение для m_groupSize на 32-разрядных платформах (где UINT_MAX равен SIZE_MAX).
BDU:2022-06445	Реализация эталона Keccak XKCP SHA-3 до fdc6fef имеет целочисленное переполнение и результирующее переполнение буфера, что позволяет злоумышленникам выполнять произвольный код или устранять ожидаемые криптографические свойства. Это происходит в интерфейсе функции губки.
BDU:2021-01781	Уязвимость в Python 3.x по 3.9.1 (CVE-2021-3177)
BDU:2024-09591	Уязвимость удаленного выполнения кода службы телефонии Windows
BDU:2024-09594	Уязвимость удаленного выполнения кода службы телефонии Windows
BDU:2024-09595	Уязвимость удаленного выполнения кода службы телефонии Windows
BDU:2024-07004	В libexpat до версии 2.6.3 обнаружена проблема. xmlparse.c не отклоняет отрицательную длину для XML_ParseBuffer.
BDU:2024-07004	В libexpat до версии 2.6.3 обнаружена проблема. xmlparse.c не отклоняет отрицательную длину для XML_ParseBuffer.
BDU:2024-07377	Была обнаружена проблема в libexpat до версии 2.6.3. dtdCopy в xmlparse.c может иметь целочисленное переполнение для nDefaultAtts на 32-разрядных платформах (где UINT_MAX равен SIZE_MAX).
BDU:2024-07376	В libexpat до версии 2.6.3 обнаружена проблема. nextScaffoldPart в xmlparse.c может иметь целочисленное переполнение для m_groupSize на 32-разрядных платформах (где UINT_MAX равен SIZE_MAX).
BDU:2024-09609	Уязвимость удаленного выполнения кода службы телефонии Windows
BDU:2022-03962	Уязвимость в Python по 3.10.4 (CVE-2015-20107)
BDU:2024-05176	Уязвимость в OpenSSL 3.3.0 до 3.3.1, 3.2.0 до 3.2.2, 3.1.0 до 3.1.6, 3.0.0 до 3.0.14, и 1.1.1 до 1.1.1y.
BDU:2023-02240	Уязвимость двойного освобождения в OpenSSL 3.0.0 до 3.0.8, и 1.1.1 до 1.1.1t может привести к падению приложения.
BDU:2023-02108	Уязвимость в OpenSSL 3.1.0 до 3.1.1, 3.0.0 до 3.0.9, и 1.1.1 до 1.1.1u, и 1.0.2 до 1.0.2zh, связанная с проверкой X.509 cертификата, позволяет вызвать отказ в обслуживании (DoS) через злонамеренный сертификат.
BDU:2020-05230	Уязвимость, приводящая к раскрытию информации WebP Image Extensions.
BDU:2023-00665	Уязвимость, связанная с подменой типа в OpenSSL 3.0.0 до 3.0.8, и 1.1.1 до 1.1.1t при обработке X.509 GeneralName может позволить злоумышленнику передать произвольные указатели на вызов memcmp и прочитать содержимое памяти или вызвать отказ в обслуживании.
